vehicle,split,feature,mean,std
01241225178,train,soc,66.77202848255286,19.748970766215564
01241225178,train,socd,68.91002920202298,20.36850335839032
01241225178,train,pack_volt,350.94288041983197,15.87413745258823
01241225178,train,pack_current,-19.36372421016992,13.095382976068702
01241225178,train,batt_pw,0.0,0.0
01241225178,train,mod_avg_temp,0.0,0.0
01241225178,train,mod_max_temp,21.408500327993735,7.334276937704273
01241225178,train,mod_min_temp,19.833220475273503,7.385246991245813
01241225178,train,batt_internal_temp,0.0,0.0
01241225178,train,ext_temp,0.0,0.0
01241225178,train,int_temp,0.0,0.0
01241225178,train,cell_volt_dispersion,8.464354487165923e-07,0.00013010830730172406
01241225178,train,max_cell_volt,3.8929041200245464,0.17672053941099894
01241225178,train,min_cell_volt,3.886389529593499,0.17598333108149194
01241225178,train,odometer,30945.15223141545,5135.187357249463
01241225178,train,chrg_cnt,310.2249084791671,48.62090022707892
01241225178,train,cumul_energy_chrgd,8435.983346382547,1336.1089947206635
01241225178,train,cumul_pw_chrgd,11604.718585606366,1847.598926970809
01241225178,train,insul_resistance,3000.0,0.0
01241225178,train,sub_batt_volt,13.868628986181939,0.46702944436033283
01241225178,train,soh,99.03124616458939,1.013801283541238
01241225178,val,soc,67.36172418900904,17.949994468843958
01241225178,val,socd,69.5133066706167,18.491823710399512
01241225178,val,pack_volt,350.9941835777416,15.004438567126332
01241225178,val,pack_current,-18.931462499382807,11.652792977370401
01241225178,val,batt_pw,0.0,0.0
01241225178,val,mod_avg_temp,0.0,0.0
01241225178,val,mod_max_temp,21.471781958228412,8.814795984789594
01241225178,val,mod_min_temp,20.094504517849206,8.808346054673596
01241225178,val,batt_internal_temp,0.0,0.0
01241225178,val,ext_temp,0.0,0.0
01241225178,val,int_temp,0.0,0.0
01241225178,val,cell_volt_dispersion,0.0,0.0
01241225178,val,max_cell_volt,3.8934222090554482,0.16691033869671992
01241225178,val,min_cell_volt,3.886943168913248,0.16639228952924665
01241225178,val,odometer,32365.718362711697,5377.772708248014
01241225178,val,chrg_cnt,323.8350367846739,50.669209059216904
01241225178,val,cumul_energy_chrgd,8794.223275564114,1355.4346440100655
01241225178,val,cumul_pw_chrgd,12109.524909889893,1905.9466272043603
01241225178,val,insul_resistance,3000.0,0.0
01241225178,val,sub_batt_volt,14.069821754801756,0.5325627678919713
01241225178,val,soh,98.78086209450451,0.9670296088845001
01241225178,test,soc,67.81896509159137,18.87697899668524
01241225178,test,socd,69.96333876462747,19.43252686571573
01241225178,test,pack_volt,351.6952895867279,15.501275505530803
01241225178,test,pack_current,-19.91550930726312,14.671876033408086
01241225178,test,batt_pw,0.0,0.0
01241225178,test,mod_avg_temp,0.0,0.0
01241225178,test,mod_max_temp,22.507085370068634,7.089103871564215
01241225178,test,mod_min_temp,20.91423492815879,7.254501439465499
01241225178,test,batt_internal_temp,0.0,0.0
01241225178,test,ext_temp,0.0,0.0
01241225178,test,int_temp,0.0,0.0
01241225178,test,cell_volt_dispersion,0.0,0.0
01241225178,test,max_cell_volt,3.901331160815682,0.17263799335080673
01241225178,test,min_cell_volt,3.894704981977978,0.1718526350636471
01241225178,test,odometer,32807.759097417664,5338.664914157337
01241225178,test,chrg_cnt,327.85992198686614,49.92168842543029
01241225178,test,cumul_energy_chrgd,8912.40127388535,1331.1649861367189
01241225178,test,cumul_pw_chrgd,12270.100943070163,1885.6948809360294
01241225178,test,insul_resistance,3000.0,0.0
01241225178,test,sub_batt_volt,13.987577149064334,0.5249876276818997
01241225178,test,soh,98.70480422653435,0.8429138626290792
01241225211,train,soc,61.544802666067554,24.132518960534075
01241225211,train,socd,63.421337901595145,24.945675461063338
01241225211,train,pack_volt,348.5283344566764,17.765408197835864
01241225211,train,pack_current,-29.776094510596867,38.42158007935068
01241225211,train,batt_pw,0.0,0.0
01241225211,train,mod_avg_temp,0.0,0.0
01241225211,train,mod_max_temp,24.902194263461393,7.171886841033679
01241225211,train,mod_min_temp,22.10755385805936,7.542150997484912
01241225211,train,batt_internal_temp,0.0,0.0
01241225211,train,ext_temp,11.892770663271675,10.768085062580857
01241225211,train,int_temp,21.099784068498963,9.67879027563196
01241225211,train,cell_volt_dispersion,0.000258618537656956,0.0023621647771792107
01241225211,train,max_cell_volt,3.866370977807734,0.19724860860409243
01241225211,train,min_cell_volt,3.8601308070595866,0.1974116604303787
01241225211,train,odometer,94849.33368281784,14708.24244088862
01241225211,train,chrg_cnt,505.5672008787039,102.18144612394545
01241225211,train,cumul_energy_chrgd,9595.072786390074,1874.223202616194
01241225211,train,cumul_pw_chrgd,27067.224910132547,4334.704870258401
01241225211,train,insul_resistance,2999.9949511969844,1.4086133042148443
01241225211,train,sub_batt_volt,13.563086946753538,0.2700179726870964
01241225211,train,soh,97.53417708879402,2.0425887876760336
01241225211,val,soc,62.856389794967384,23.666407838947336
01241225211,val,socd,64.77152260018639,24.465775464178382
01241225211,val,pack_volt,348.8519716915191,17.75902110302909
01241225211,val,pack_current,-22.14354467614166,27.04501203065707
01241225211,val,batt_pw,0.0,0.0
01241225211,val,mod_avg_temp,0.0,0.0
01241225211,val,mod_max_temp,24.022017707362536,8.320679522813618
01241225211,val,mod_min_temp,21.757950838769805,8.915961751015208
01241225211,val,batt_internal_temp,0.0,0.0
01241225211,val,ext_temp,12.574906803355079,13.208519497734265
01241225211,val,int_temp,20.906686859273066,10.790128957036767
01241225211,val,cell_volt_dispersion,0.00011824324324324326,0.0016146981474102543
01241225211,val,max_cell_volt,3.869697110904007,0.19724799864847453
01241225211,val,min_cell_volt,3.8638437791239517,0.19728599036182362
01241225211,val,odometer,99083.30903424976,16681.203186796552
01241225211,val,chrg_cnt,530.4223846691519,114.12503255989692
01241225211,val,cumul_energy_chrgd,10159.286113699907,2134.728455744347
01241225211,val,cumul_pw_chrgd,28299.3557112069,4908.679792775954
01241225211,val,insul_resistance,2999.9712837837837,3.7629159573961264
01241225211,val,sub_batt_volt,13.571703168685927,0.28516583147369334
01241225211,val,soh,97.1697839002796,2.187963956808607
01241225211,test,soc,63.21463727174768,23.4038112950547
01241225211,test,socd,65.15703177330576,24.21827183842576
01241225211,test,pack_volt,349.76676180213764,17.3300968203526
01241225211,test,pack_current,-31.22642018813525,40.5113270738308
01241225211,test,batt_pw,0.0,0.0
01241225211,test,mod_avg_temp,0.0,0.0
01241225211,test,mod_max_temp,25.504353903952005,8.172087547560903
01241225211,test,mod_min_temp,22.83050353845706,8.751367105612767
01241225211,test,batt_internal_temp,0.0,0.0
01241225211,test,ext_temp,11.803215190610711,12.524267363005665
01241225211,test,int_temp,21.497539097766257,10.777836315866573
01241225211,test,cell_volt_dispersion,0.00030171535078778,0.002437918775206362
01241225211,test,max_cell_volt,3.880309287357661,0.19240793989788593
01241225211,test,min_cell_volt,3.873862597198358,0.19263124782606153
01241225211,test,odometer,99811.59714011125,16857.995759429323
01241225211,test,chrg_cnt,536.1012901534788,113.12335658788436
01241225211,test,cumul_energy_chrgd,10260.575967615108,2183.93642764998
01241225211,test,cumul_pw_chrgd,28518.666706468244,4949.677821839093
01241225211,test,insul_resistance,2999.9813029676443,2.8049765870757657
01241225211,test,sub_batt_volt,13.534726388443953,0.17119007533282354
01241225211,test,soh,97.19908262224423,2.061185622187182
01241225220,train,soc,62.64485427771991,21.043835853517344
01241225220,train,socd,64.49866906303399,21.716230660593283
01241225220,train,pack_volt,348.8284514156948,15.916154027985526
01241225220,train,pack_current,-38.34953903968302,41.495878700268584
01241225220,train,batt_pw,0.0,0.0
01241225220,train,mod_avg_temp,0.0,0.0
01241225220,train,mod_max_temp,29.68251536874783,4.885380245833543
01241225220,train,mod_min_temp,27.32007161870528,5.591229867388546
01241225220,train,batt_internal_temp,0.0,0.0
01241225220,train,ext_temp,18.963734520624417,8.670932967160528
01241225220,train,int_temp,29.516458005704987,6.033630121044851
01241225220,train,cell_volt_dispersion,0.0005043263961222419,0.003136510174010065
01241225220,train,max_cell_volt,3.8701970875967575,0.1772964273826221
01241225220,train,min_cell_volt,3.8634112833500116,0.17659864999474614
01241225220,train,odometer,54572.855176357654,16013.736721265981
01241225220,train,chrg_cnt,67.68372036027205,44.55186227620926
01241225220,train,cumul_energy_chrgd,2448.630550960249,1706.6684333096196
01241225220,train,cumul_pw_chrgd,17009.72076670139,4874.605600765931
01241225220,train,insul_resistance,2999.95357719094,4.658778061394679
01241225220,train,sub_batt_volt,13.623090905377529,0.16634975771770147
01241225220,train,soh,97.07273042909952,1.3604317435796114
01241225220,val,soc,63.65881941796925,20.831879752780335
01241225220,val,socd,65.54671813445165,21.4942787895419
01241225220,val,pack_volt,349.43144935824114,15.987704229251001
01241225220,val,pack_current,-38.219438302198505,39.93936802499154
01241225220,val,batt_pw,0.0,0.0
01241225220,val,mod_avg_temp,0.0,0.0
01241225220,val,mod_max_temp,29.978968102681407,5.160502764369334
01241225220,val,mod_min_temp,27.846962765281486,5.6321380645725485
01241225220,val,batt_internal_temp,0.0,0.0
01241225220,val,ext_temp,19.074660058457237,9.03198191665242
01241225220,val,int_temp,29.613387978142075,4.775654164859044
01241225220,val,cell_volt_dispersion,0.0001976108781293684,0.0022146229333032744
01241225220,val,max_cell_volt,3.876639979667048,0.17794854672617214
01241225220,val,min_cell_volt,3.8702204854492313,0.17751192510084987
01241225220,val,odometer,56996.79527258864,16763.03014915753
01241225220,val,chrg_cnt,76.20456856017283,44.87498893268954
01241225220,val,cumul_energy_chrgd,2779.507338924895,1721.462901142421
01241225220,val,cumul_pw_chrgd,17745.157542254416,5109.913863998027
01241225220,val,insul_resistance,2999.9164125047655,6.309419263861097
01241225220,val,sub_batt_volt,13.64263883593849,0.21870471591914153
01241225220,val,soh,96.71805184902784,1.383201417616402
01241225220,test,soc,63.21363217587445,20.654685440361376
01241225220,test,socd,65.08985926231851,21.311670607330996
01241225220,test,pack_volt,349.67208120214764,15.411238195123662
01241225220,test,pack_current,-48.00390729739174,48.39079392113624
01241225220,test,batt_pw,0.0,0.0
01241225220,test,mod_avg_temp,0.0,0.0
01241225220,test,mod_max_temp,29.303014899768083,5.793179641269349
01241225220,test,mod_min_temp,26.590494646885027,6.374604201563921
01241225220,test,batt_internal_temp,0.0,0.0
01241225220,test,ext_temp,17.256758903326237,10.18486338619369
01241225220,test,int_temp,29.2146329065667,6.485009009276813
01241225220,test,cell_volt_dispersion,0.0007827937859389395,0.003878606390269741
01241225220,test,max_cell_volt,3.880104838453474,0.17140883993085046
01241225220,test,min_cell_volt,3.872520252883058,0.17107775923763158
01241225220,test,odometer,54775.58312418591,19644.825829017962
01241225220,test,chrg_cnt,71.29338882358547,51.25575374878933
01241225220,test,cumul_energy_chrgd,2614.790196016139,1958.249496471922
01241225220,test,cumul_pw_chrgd,17075.859211487754,5984.555923245397
01241225220,test,insul_resistance,2999.964767925787,3.67293705765371
01241225220,test,sub_batt_volt,13.622867490548654,0.18369486704283294
01241225220,test,soh,97.08496997807923,1.5897070843633885
01241225226,train,soc,56.69850695622667,18.14913664796338
01241225226,train,socd,58.35948422124194,18.727289421690408
01241225226,train,pack_volt,345.441309806583,12.029938854917045
01241225226,train,pack_current,-87.7655106888361,22.685972644067718
01241225226,train,batt_pw,0.0,0.0
01241225226,train,mod_avg_temp,0.0,0.0
01241225226,train,mod_max_temp,24.349575839837122,8.19325230837503
01241225226,train,mod_min_temp,22.706956226671192,8.24322566984086
01241225226,train,batt_internal_temp,0.0,0.0
01241225226,train,ext_temp,16.471394638615543,11.620625485154669
01241225226,train,int_temp,26.23725822870716,11.001790842389235
01241225226,train,cell_volt_dispersion,0.0001832371903630811,0.001905627032643156
01241225226,train,max_cell_volt,3.833957244655582,0.1336717566559834
01241225226,train,min_cell_volt,3.824618934509671,0.13310536362315598
01241225226,train,odometer,21950.44737020699,4431.938108630719
01241225226,train,chrg_cnt,9.265829657278589,1.3035787588756627
01241225226,train,cumul_energy_chrgd,123.50906006107907,1.4392013154351766
01241225226,train,cumul_pw_chrgd,5840.670749915168,1198.8294954623557
01241225226,train,insul_resistance,3000.0,0.0
01241225226,train,sub_batt_volt,14.389005768578212,0.4800385525973431
01241225226,train,soh,92.52380047505937,0.8734039593866869
01241225226,val,soc,59.43144395186827,18.618286993829457
01241225226,val,socd,61.1820772640912,19.213204577756024
01241225226,val,pack_volt,347.81089297023425,12.452375481872298
01241225226,val,pack_current,-85.99883787207092,31.224879532459287
01241225226,val,batt_pw,0.0,0.0
01241225226,val,mod_avg_temp,0.0,0.0
01241225226,val,mod_max_temp,21.60006333122229,10.149435869038204
01241225226,val,mod_min_temp,19.73084230525649,10.36375497372255
01241225226,val,batt_internal_temp,0.0,0.0
01241225226,val,ext_temp,12.69094363521216,13.105144359193998
01241225226,val,int_temp,20.928752374920837,13.079699761897205
01241225226,val,cell_volt_dispersion,1.266624445851805e-05,0.0005032341869217651
01241225226,val,max_cell_volt,3.86059531348955,0.1384218953032624
01241225226,val,min_cell_volt,3.850563647878404,0.137649848323042
01241225226,val,odometer,21553.719442685244,4762.722249211213
01241225226,val,chrg_cnt,9.094046865104497,1.2469878920814634
01241225226,val,cumul_energy_chrgd,123.35940468651044,1.421259872959272
01241225226,val,cumul_pw_chrgd,5732.649778340722,1286.0893118691888
01241225226,val,insul_resistance,3000.0,0.0
01241225226,val,sub_batt_volt,14.483850538315387,0.4200383021941348
01241225226,val,soh,92.62276757441421,0.6529320365442162
01241225226,test,soc,59.64819506016466,18.367540200303623
01241225226,test,socd,61.40911969601013,18.953086450920782
01241225226,test,pack_volt,346.9813489550349,12.244169763878164
01241225226,test,pack_current,-74.38523115896136,37.26325614248698
01241225226,test,batt_pw,0.0,0.0
01241225226,test,mod_avg_temp,0.0,0.0
01241225226,test,mod_max_temp,25.183027232425587,7.349594406131527
01241225226,test,mod_min_temp,23.752691576947434,7.538515865291385
01241225226,test,batt_internal_temp,0.0,0.0
01241225226,test,ext_temp,20.91291956934769,9.826158466378871
01241225226,test,int_temp,31.974667511082963,10.00899141861419
01241225226,test,cell_volt_dispersion,0.0,0.0
01241225226,test,max_cell_volt,3.8502153261557948,0.13595595158844617
01241225226,test,min_cell_volt,3.8418366054464848,0.1357079394043013
01241225226,test,odometer,23783.130145661813,4916.347558660953
01241225226,test,chrg_cnt,9.819189360354654,1.558667625096841
01241225226,test,cumul_energy_chrgd,126.39107029765674,6.448844243390656
01241225226,test,cumul_pw_chrgd,6330.389455351487,1306.6108751991708
01241225226,test,insul_resistance,3000.0,0.0
01241225226,test,sub_batt_volt,14.49433185560481,0.4078142873186109
01241225226,test,soh,92.3769474350855,0.7677705246257333
